,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Response,Complain,Customer_Age,Years_Since_Enrollment
275,Master,Married,70091.0,1,0,11,964,34,137,15,0,11,2,5,2,10,8,Refuse,No,55,11
276,Graduation,Married,46097.0,0,1,11,72,24,68,65,4,8,5,3,1,6,4,Refuse,No,68,11
277,PhD,Divorced,41003.0,0,0,11,123,133,142,71,44,88,1,6,2,8,6,Refuse,No,61,11
278,Graduation,Married,44911.0,0,1,11,159,0,22,2,1,31,3,4,1,4,7,Refuse,No,65,11
279,Graduation,Single,33249.0,1,0,11,6,10,21,19,14,42,2,2,1,3,6,Refuse,No,49,11
281,PhD,Divorced,42873.0,1,1,11,209,0,40,3,2,15,4,6,1,4,8,Refuse,No,74,11
282,PhD,Married,51039.0,1,1,11,100,64,79,65,0,109,2,6,2,4,7,Refuse,No,55,12
283,PhD,Married,78952.0,0,1,11,1170,19,594,99,76,134,2,2,5,12,6,Refuse,No,66,12
284,Master,Divorced,29435.0,1,1,11,70,3,37,4,2,64,4,3,2,2,9,Accept,No,58,12
285,Graduation,Divorced,79865.0,0,1,12,71,99,278,185,121,38,1,5,10,5,1,Refuse,No,70,10
286,Graduation,Single,34176.0,1,0,12,5,7,24,19,14,20,4,3,0,4,6,Refuse,No,36,10
287,Graduation,Single,34176.0,1,0,12,5,7,24,19,14,20,4,3,0,4,6,Refuse,No,36,10
288,PhD,Married,65968.0,0,1,12,376,9,83,19,4,4,2,5,4,7,3,Refuse,No,54,10
289,Master,Single,86424.0,0,0,12,387,68,569,89,45,68,1,6,9,12,1,Refuse,No,68,10
290,Graduation,Divorced,67272.0,0,1,12,357,35,271,28,28,14,3,6,2,12,5,Refuse,No,58,11
291,Graduation,Single,78499.0,0,0,12,912,72,170,47,36,97,1,11,3,4,4,Accept,No,67,11
292,Graduation,Married,77044.0,0,1,12,625,38,242,50,34,76,2,7,11,11,4,Refuse,No,52,11
293,Graduation,Single,70515.0,0,0,12,420,0,452,182,64,140,1,6,6,4,2,Accept,No,31,11
294,Master,Married,17459.0,1,0,12,6,4,16,3,10,30,3,3,1,2,7,Accept,No,49,11
295,PhD,Married,80336.0,0,0,12,209,19,456,160,142,66,1,2,9,13,1,Refuse,No,54,11
296,Graduation,Married,15759.0,0,0,12,1,2,5,6,0,3,1,1,0,2,7,Refuse,No,68,11
297,2n Cycle,Married,26326.0,0,0,12,1,0,5,0,3,9,1,0,0,3,3,Refuse,Yes,48,11
298,Graduation,Married,62061.0,0,1,12,641,7,84,0,30,38,3,10,4,7,6,Refuse,No,48,11
299,Graduation,Married,5305.0,0,1,12,12,4,7,1,3,5,0,1,0,0,13,Refuse,No,48,11
300,Master,Single,75777.0,0,0,12,712,26,538,69,13,80,1,3,6,11,1,Accept,No,42,11
302,Master,Married,71499.0,0,1,12,465,25,132,136,0,37,2,8,3,13,4,Refuse,No,53,11
303,PhD,Single,31626.0,1,0,12,39,1,9,2,1,34,1,2,1,2,7,Accept,No,46,11
304,Master,Married,42670.0,0,0,12,154,2,46,20,4,15,1,4,2,4,4,Refuse,No,32,11
305,Graduation,Single,83917.0,0,0,12,514,22,732,42,198,79,1,6,7,7,3,Accept,No,51,11
306,Master,Married,41021.0,1,0,12,14,7,9,6,16,12,2,2,0,3,6,Accept,No,55,12
307,Graduation,Married,79456.0,0,0,12,565,42,548,64,83,99,1,5,6,4,3,Accept,No,68,12
308,Master,Divorced,78789.0,0,0,12,667,50,850,21,83,83,1,4,6,5,2,Accept,No,44,12
309,PhD,Married,50870.0,0,1,13,53,0,8,0,0,2,1,2,0,3,5,Refuse,No,72,10
310,Master,Married,35876.0,0,0,13,66,2,40,4,3,14,1,3,1,3,6,Refuse,No,41,10
311,Graduation,Married,23539.0,0,0,13,4,24,11,16,1,25,1,2,0,4,6,Refuse,No,67,10
312,Master,Single,32557.0,1,0,13,34,3,29,0,4,10,3,2,1,3,5,Accept,No,57,10
313,2n Cycle,Married,62466.0,0,1,13,129,129,259,168,121,83,5,6,3,12,4,Refuse,No,54,10
315,Graduation,Married,54198.0,1,1,13,185,0,28,3,2,17,6,3,1,6,4,Refuse,No,58,11
316,PhD,Married,82170.0,0,0,13,1023,93,651,49,55,37,1,5,6,7,2,Refuse,No,46,11
317,PhD,Single,61798.0,0,0,13,338,4,89,11,8,13,1,4,2,9,4,Refuse,No,60,11
318,Basic,Single,15253.0,1,0,13,1,3,3,8,1,13,2,1,0,3,7,Refuse,No,32,11
319,Master,Married,78285.0,0,0,13,647,107,391,175,67,40,1,6,4,10,3,Refuse,No,36,11
320,Graduation,Single,62535.0,0,1,13,163,48,90,0,45,52,1,3,2,8,3,Refuse,No,69,11
321,Basic,Married,27190.0,1,0,13,1,6,7,0,1,3,1,1,0,2,8,Accept,No,51,11
322,2n Cycle,Married,48985.0,0,1,13,19,13,18,10,7,8,1,1,1,3,3,Refuse,No,56,11
323,Graduation,Married,72940.0,0,0,13,182,74,298,162,149,116,1,3,3,6,1,Refuse,No,54,11
324,2n Cycle,Married,36145.0,1,0,13,56,4,76,17,1,18,4,4,1,3,9,Accept,No,39,11
325,Graduation,Married,157146.0,0,0,13,1,0,1725,2,1,1,0,0,28,0,1,Refuse,No,47,11
326,Master,Married,81843.0,0,0,13,779,86,537,34,69,138,1,5,9,12,3,Refuse,No,64,11
327,Graduation,Married,41883.0,1,0,13,32,34,41,73,16,116,3,4,2,3,7,Refuse,No,36,11
328,PhD,Married,45759.0,1,1,13,42,1,18,3,0,4,2,2,0,3,7,Refuse,No,60,11
330,Graduation,Married,78394.0,0,0,13,298,27,697,216,24,166,1,4,6,5,2,Accept,No,38,11
331,Graduation,Single,30279.0,1,0,13,10,4,14,4,4,1,1,1,0,3,8,Refuse,No,35,12
333,Graduation,Widow,31880.0,1,0,13,4,1,5,2,0,3,1,1,0,2,8,Refuse,No,54,12
334,Graduation,Widow,60208.0,1,1,13,488,23,71,15,0,59,11,8,3,7,7,Accept,No,51,12
335,Graduation,Married,78687.0,0,0,13,817,185,687,145,55,241,1,4,6,8,2,Accept,No,41,12
336,PhD,Married,37401.0,1,0,14,19,3,19,3,1,3,2,2,0,3,7,Refuse,No,51,10
338,Graduation,Married,75315.0,0,1,14,459,15,171,142,23,31,2,5,4,12,2,Refuse,No,70,10
339,Graduation,Single,69263.0,0,1,14,492,5,32,13,5,21,1,9,1,7,6,Refuse,No,59,10
340,Graduation,Married,78569.0,0,0,14,558,79,622,207,175,95,1,4,6,4,1,Accept,No,78,10
341,PhD,Married,57705.0,0,1,14,383,0,53,6,4,40,3,8,1,6,6,Refuse,No,58,10
342,2n Cycle,Married,74805.0,0,1,14,209,162,209,41,162,37,5,4,7,10,2,Refuse,No,69,11
343,PhD,Married,66426.0,0,1,14,1043,24,97,32,24,157,2,3,5,10,6,Refuse,No,63,11
344,Master,Widow,51529.0,0,1,14,400,4,35,6,0,22,2,9,1,5,8,Refuse,No,75,11
345,Graduation,Married,18100.0,0,0,14,3,1,2,4,3,1,1,0,0,3,5,Refuse,No,78,11
346,2n Cycle,Divorced,59601.0,0,1,14,691,7,69,0,7,23,4,2,2,7,8,Refuse,No,47,11
347,2n Cycle,Married,20981.0,0,0,14,2,12,10,6,13,30,1,3,1,2,8,Accept,No,47,11
348,Graduation,Married,74068.0,0,0,14,783,30,537,140,76,15,1,4,10,9,2,Refuse,No,48,11
349,Graduation,Married,36790.0,0,0,14,3,3,14,15,21,10,1,2,1,2,9,Accept,No,41,11
350,Graduation,Married,18793.0,1,0,14,4,16,20,0,17,20,3,2,0,4,8,Refuse,No,53,11
351,Graduation,Widow,27421.0,0,0,14,43,12,96,78,40,55,3,4,1,6,7,Refuse,No,70,12
352,Graduation,Married,30675.0,1,0,14,10,2,16,11,2,21,1,1,0,3,8,Refuse,No,52,12
353,Graduation,Married,83145.0,0,0,14,777,35,731,39,137,114,1,5,9,11,2,Accept,No,50,12
354,Master,Married,34053.0,0,1,14,63,0,21,7,0,12,1,3,0,3,8,Refuse,No,56,12
355,Master,Single,31788.0,1,0,15,16,7,23,0,8,6,3,3,0,4,5,Refuse,Yes,41,10
356,2n Cycle,Married,45894.0,0,2,15,27,2,7,0,2,13,1,1,0,3,5,Refuse,No,50,10
357,Graduation,Divorced,41986.0,0,1,15,27,5,8,8,3,12,3,3,0,4,4,Refuse,No,46,10
358,PhD,Married,42769.0,0,1,15,71,0,13,3,1,0,2,1,1,4,4,Refuse,No,62,11
359,2n Cycle,Married,58582.0,0,1,15,402,35,106,101,77,42,2,9,2,9,5,Refuse,No,42,11
360,Graduation,Married,49096.0,1,1,15,144,1,32,2,1,7,4,4,1,4,7,Refuse,No,60,11
361,PhD,Single,76412.0,0,0,15,840,53,804,23,71,17,1,5,4,8,3,Accept,No,44,11
362,Graduation,Married,18929.0,0,0,15,32,0,8,23,4,18,1,1,0,4,6,Refuse,No,34,11
365,Master,Single,21888.0,1,0,15,88,10,46,2,3,64,4,5,1,2,10,Accept,No,38,12
366,Graduation,Married,41580.0,1,1,15,56,5,24,4,0,3,3,2,1,3,5,Refuse,No,46,12
367,PhD,Married,31605.0,1,0,15,74,0,42,2,1,6,2,2,1,4,7,Refuse,No,45,12
368,PhD,Divorced,25509.0,1,0,15,40,3,30,10,7,11,3,3,0,3,9,Accept,No,50,12
370,Master,Widow,33051.0,0,0,15,100,71,243,108,94,219,3,9,1,8,9,Accept,No,65,12
371,PhD,Married,28764.0,1,1,16,8,0,3,0,0,1,1,1,0,2,8,Refuse,No,58,10
372,2n Cycle,Married,32146.0,1,0,16,26,3,23,4,7,3,2,2,0,4,6,Refuse,No,41,10
373,Graduation,Single,22148.0,0,0,16,15,5,14,0,4,11,1,1,0,3,7,Refuse,No,41,10
374,Graduation,Married,36781.0,1,0,16,29,1,17,0,3,13,1,2,1,2,8,Accept,No,45,10
375,Master,Married,54197.0,0,1,16,162,6,37,6,13,13,2,1,3,6,1,Refuse,No,64,10
376,Graduation,Single,93790.0,0,0,16,1302,68,731,89,114,45,0,6,7,12,2,Accept,No,54,10
377,Graduation,Single,24762.0,1,0,16,6,10,12,3,15,40,3,3,1,2,8,Accept,No,52,10
378,Master,Married,30477.0,1,0,16,47,1,6,0,0,12,1,1,1,3,6,Refuse,No,40,10
379,2n Cycle,Divorced,11448.0,0,0,16,0,0,0,6,2,6,1,1,0,2,6,Refuse,No,49,11
380,Graduation,Divorced,70844.0,1,1,16,129,26,67,3,67,2,5,6,1,5,7,Refuse,No,57,11
381,Graduation,Single,30828.0,1,0,16,16,11,15,2,0,12,2,1,1,4,3,Refuse,No,44,11
382,Master,Married,62513.0,0,1,16,520,42,98,0,42,14,2,6,4,10,6,Refuse,No,57,11
383,2n Cycle,Married,27733.0,1,0,16,0,7,5,26,2,17,2,2,0,3,7,Refuse,No,43,11
384,PhD,Married,39435.0,1,0,16,71,0,18,0,0,13,1,3,1,2,7,Refuse,No,51,11
385,Master,Single,75345.0,0,0,16,918,57,842,99,38,133,1,5,8,6,3,Accept,No,54,11
386,2n Cycle,Married,20491.0,0,0,16,5,4,5,4,2,10,1,0,1,2,7,Refuse,No,38,11
387,Graduation,Married,36715.0,1,0,16,172,10,125,21,13,16,6,7,2,4,9,Accept,No,53,12
388,Graduation,Married,71706.0,0,1,16,931,56,253,91,98,14,4,9,5,7,5,Refuse,No,65,12
389,PhD,Married,69063.0,0,1,16,666,35,124,69,8,26,1,5,3,5,3,Refuse,No,58,12
390,Graduation,Married,24645.0,1,0,16,5,3,4,4,1,0,1,1,0,2,8,Refuse,No,36,12
391,Graduation,Married,35797.0,0,1,16,27,1,14,4,1,21,2,2,0,3,8,Refuse,No,49,12
392,Graduation,Married,44078.0,1,1,17,24,1,10,2,0,4,2,2,0,3,5,Refuse,No,55,10
393,Graduation,Single,26954.0,1,0,17,4,1,11,0,0,1,1,1,0,2,7,Refuse,No,53,10
394,PhD,Married,52247.25135379061,1,0,17,25,1,13,0,0,3,1,1,0,3,7,Refuse,No,52,10
395,PhD,Married,38887.0,1,0,17,25,1,13,0,0,3,1,1,0,3,7,Refuse,No,52,10
396,2n Cycle,Married,65463.0,1,0,17,391,32,70,21,32,16,2,6,2,9,5,Refuse,No,50,10
397,PhD,Married,53537.0,1,1,17,81,0,6,0,0,6,2,2,1,3,5,Refuse,No,65,10
398,Master,Single,36230.0,1,0,17,14,2,30,8,2,3,1,2,0,4,5,Refuse,No,53,11
399,Graduation,Married,80763.0,0,0,17,674,168,108,192,42,231,1,5,11,6,3,Accept,No,74,11
400,PhD,Married,60585.0,1,1,17,267,42,309,55,42,21,10,7,4,9,5,Accept,No,53,11
401,Graduation,Single,49166.0,0,1,17,224,2,25,7,0,110,2,5,3,3,6,Refuse,No,50,11
402,PhD,Married,75261.0,0,0,17,1239,17,413,23,34,17,1,5,6,5,2,Accept,No,69,11
403,Graduation,Married,89891.0,0,0,17,412,22,132,59,28,183,1,11,6,8,4,Refuse,No,33,11
404,Master,Married,72828.0,0,1,17,1205,0,235,19,14,205,6,6,3,13,7,Refuse,No,62,11
405,Graduation,Married,75278.0,0,0,17,304,98,230,150,74,74,1,6,3,13,3,Refuse,No,72,11
406,Graduation,Single,38557.0,1,0,17,76,3,31,4,4,27,2,3,1,3,7,Refuse,No,46,12
407,PhD,Married,81300.0,0,1,17,1004,12,145,32,12,36,3,10,3,5,5,Accept,No,61,12
408,2n Cycle,Divorced,60161.0,0,1,17,584,44,212,46,8,177,3,11,4,8,8,Refuse,No,59,12
409,PhD,Married,69389.0,0,1,17,422,7,238,69,46,15,1,7,2,12,4,Refuse,No,47,12
410,Graduation,Divorced,64497.0,0,1,17,1170,48,320,42,32,192,5,11,4,9,8,Accept,No,70,12
411,Graduation,Married,61014.0,0,1,17,269,129,495,182,43,29,4,9,3,4,7,Refuse,No,44,12
412,Master,Married,44319.0,1,1,18,26,0,8,0,0,3,2,2,0,3,5,Refuse,No,49,10
413,2n Cycle,Married,53233.0,0,1,18,28,0,9,3,0,0,1,1,0,3,4,Refuse,No,67,10
414,Graduation,Married,77972.0,0,0,18,613,22,319,33,102,12,1,4,6,9,1,Refuse,No,70,10
415,Graduation,Divorced,81361.0,0,0,18,163,23,424,27,65,76,1,3,10,13,1,Refuse,No,37,10
416,Graduation,Divorced,81361.0,0,0,18,163,23,424,27,65,76,1,3,10,13,1,Accept,No,37,10
417,Basic,Single,25707.0,1,0,18,1,6,2,3,6,3,1,1,0,3,7,Refuse,No,40,10
418,PhD,Married,42403.0,1,0,18,22,1,11,0,5,3,1,1,0,3,8,Refuse,No,53,11
419,2n Cycle,Single,65704.0,0,0,18,279,172,74,38,8,246,1,2,10,10,1,Refuse,No,52,11
420,Graduation,Married,37406.0,1,0,18,2,0,8,2,2,3,1,1,0,2,8,Accept,No,44,11
421,Master,Married,39767.0,0,0,18,113,61,204,34,26,47,2,7,1,7,8,Refuse,No,73,11
422,2n Cycle,Married,54210.0,0,1,18,70,54,109,80,9,45,2,4,1,7,5,Refuse,No,45,11
423,Graduation,Divorced,57136.0,0,0,18,267,140,599,34,12,127,1,7,5,7,6,Accept,No,57,11
424,Graduation,Married,40794.0,0,1,18,261,23,73,4,23,50,2,6,3,5,7,Refuse,No,49,11
425,Graduation,Married,83003.0,0,0,18,856,61,570,40,25,122,1,7,6,8,3,Accept,No,59,11
426,Master,Married,89058.0,0,0,18,454,194,106,31,22,43,1,5,4,4,2,Refuse,No,64,12
427,2n Cycle,Married,20193.0,0,0,18,8,8,22,24,11,9,1,1,1,4,4,Refuse,No,33,12
428,Graduation,Married,72099.0,0,0,18,546,91,410,119,0,22,1,3,4,10,1,Refuse,No,50,12
429,Graduation,Married,43824.0,1,1,18,96,1,42,12,3,32,4,3,1,4,8,Refuse,No,53,12
430,Graduation,Married,66653.0,1,1,18,452,18,102,16,18,6,4,4,2,12,3,Refuse,No,49,12
431,Graduation,Married,44359.0,1,1,19,20,0,14,7,3,1,3,2,0,4,3,Refuse,No,46,10
432,Graduation,Married,79410.0,0,0,19,658,80,483,123,13,13,1,3,2,5,1,Refuse,No,63,10
433,Master,Married,55842.0,0,1,19,451,0,39,0,4,24,1,7,1,8,5,Refuse,No,47,10
434,Graduation,Widow,79946.0,0,0,19,395,183,565,166,141,28,1,5,11,5,3,Refuse,No,58,10
435,2n Cycle,Single,88194.0,0,1,19,688,14,309,201,24,38,1,11,10,10,5,Accept,No,45,10
436,Master,Married,80184.0,0,0,19,1035,134,670,25,38,0,1,6,3,10,3,Refuse,No,80,10
437,Graduation,Divorced,76982.0,0,0,19,464,151,292,65,60,30,1,8,3,4,4,Accept,No,57,10
438,PhD,Single,65295.0,0,0,19,365,32,117,34,110,6,1,3,3,13,2,Refuse,No,44,11
439,Graduation,Married,57100.0,0,0,19,181,21,69,39,3,96,1,3,3,6,3,Refuse,No,51,11
440,Graduation,Married,29009.0,1,0,19,6,6,15,10,5,2,2,2,0,3,6,Refuse,No,43,11
441,PhD,Married,78931.0,0,0,19,331,197,170,58,152,35,1,2,8,13,1,Refuse,No,53,11
442,Master,Married,7500.0,1,0,19,3,1,10,3,2,12,3,2,0,3,5,Refuse,No,49,11
443,Graduation,Married,56939.0,0,1,19,256,34,103,90,29,49,2,3,3,10,3,Refuse,No,48,11
444,Graduation,Single,64509.0,0,0,19,836,185,575,24,25,77,1,6,3,9,4,Accept,No,34,11
445,Graduation,Married,30093.0,0,0,19,2,6,28,13,4,16,1,2,0,3,7,Refuse,No,34,11
446,PhD,Married,30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,Accept,No,50,11
447,PhD,Married,30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,Refuse,No,50,11
448,PhD,Married,38201.0,0,1,19,233,0,23,0,0,12,4,5,1,5,8,Refuse,No,64,11
449,Graduation,Single,52247.25135379061,1,0,19,5,1,3,3,263,362,0,27,0,0,1,Refuse,No,38,11
450,PhD,Married,43974.0,1,0,19,378,0,101,0,0,72,5,6,4,6,7,Refuse,No,44,12
451,Graduation,Married,38200.0,1,1,19,12,0,4,0,0,1,1,1,0,2,7,Refuse,No,54,12
452,2n Cycle,Divorced,87305.0,0,0,19,345,25,501,63,138,80,1,5,3,8,2,Accept,No,64,12
453,Graduation,Married,16860.0,1,1,19,10,4,4,3,3,14,3,1,1,3,7,Refuse,No,63,12
454,PhD,Single,27213.0,1,0,19,19,3,26,10,9,3,3,2,0,4,8,Accept,No,52,12
455,Graduation,Married,7500.0,1,0,19,7,0,12,13,7,32,5,4,1,2,9,Accept,No,48,12
456,Graduation,Divorced,4861.0,0,0,20,2,1,1,1,0,1,0,0,0,0,14,Refuse,No,59,10
457,Master,Married,38196.0,1,1,20,30,0,11,0,0,3,3,2,0,4,5,Refuse,No,53,10
458,PhD,Married,41145.0,1,1,20,9,0,3,0,0,1,1,0,0,3,3,Refuse,No,74,10
459,PhD,Single,38513.0,1,0,20,172,3,115,16,0,18,5,6,1,5,8,Accept,No,42,10
460,Graduation,Married,45688.0,0,1,20,279,0,18,0,0,9,2,3,1,8,4,Refuse,No,56,10
461,PhD,Married,77863.0,0,0,20,881,38,319,16,25,12,1,4,5,10,2,Refuse,No,66,11
462,Master,Married,42169.0,1,1,20,19,0,9,0,0,2,2,1,0,3,8,Refuse,No,55,11
463,Graduation,Single,45906.0,0,1,20,305,3,27,4,3,144,2,5,4,4,5,Refuse,No,60,11
464,2n Cycle,Divorced,35388.0,1,0,20,6,4,7,4,3,8,1,1,0,3,7,Refuse,No,36,11
465,Graduation,Married,80952.0,0,0,20,778,178,689,41,27,44,1,8,5,11,8,Accept,No,55,11
466,Graduation,Married,39898.0,0,1,20,69,8,26,12,7,12,2,3,0,4,7,Refuse,No,70,11
468,Master,Divorced,44051.0,1,1,20,79,7,58,6,3,18,4,3,1,4,6,Accept,No,51,11
469,Graduation,Married,86718.0,0,0,20,344,189,482,50,33,172,1,5,6,5,2,Refuse,No,70,11
470,Master,Married,80141.0,0,0,20,1184,102,673,52,40,40,1,7,4,10,6,Accept,No,38,11
471,Graduation,Married,58597.0,1,1,20,490,0,184,10,28,21,12,7,4,9,7,Refuse,No,48,12
472,PhD,Married,70356.0,0,0,20,1349,16,249,43,16,33,2,10,6,9,6,Refuse,No,79,12
473,Graduation,Single,46904.0,1,1,20,153,4,56,0,9,31,4,5,1,4,8,Refuse,No,57,12
474,Graduation,Married,37760.0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,Refuse,No,78,12
476,Graduation,Single,61839.0,0,0,20,1000,155,379,224,17,120,1,4,8,4,8,Refuse,No,60,12
477,PhD,Married,29791.0,1,0,21,14,0,6,0,0,0,2,2,0,3,5,Refuse,No,52,10
478,PhD,Single,48918.0,1,1,21,52,0,9,0,0,1,2,1,0,4,4,Refuse,No,61,10
480,Graduation,Married,58692.0,0,1,21,301,11,61,4,7,11,1,8,2,4,7,Refuse,No,59,10
481,Graduation,Married,39356.0,1,1,21,15,0,2,0,0,6,1,1,0,2,6,Refuse,No,48,10
482,Master,Married,76234.0,0,1,21,519,50,167,130,0,41,1,8,3,11,3,Refuse,No,52,10
483,Graduation,Married,55434.0,1,0,21,238,115,215,169,69,76,3,5,3,13,4,Refuse,No,40,11
484,Master,Married,66835.0,0,0,21,620,26,195,34,17,141,1,6,4,13,2,Refuse,No,78,11
486,Graduation,Married,71965.0,0,1,21,572,19,286,50,38,248,3,6,3,5,3,Refuse,No,73,11
487,Graduation,Married,74538.0,0,0,21,380,98,733,110,112,28,1,8,8,5,3,Accept,No,53,11
488,Graduation,Divorced,50002.0,0,1,21,443,5,71,21,16,82,2,8,2,7,7,Refuse,No,70,11
489,Graduation,Married,53977.0,0,1,21,620,16,165,0,24,82,5,5,5,12,5,Refuse,No,66,11
491,Graduation,Married,69930.0,0,0,21,252,98,827,219,70,196,1,4,5,12,3,Refuse,No,53,11
492,PhD,Married,62981.0,0,0,21,796,14,590,38,44,0,1,4,5,13,3,Refuse,No,57,11
493,Master,Married,46014.0,1,1,21,410,0,59,19,9,44,10,7,1,8,7,Refuse,No,50,11
494,Graduation,Married,18227.0,1,0,21,1,2,7,4,3,11,1,0,1,2,8,Refuse,No,37,12
495,Graduation,Married,65991.0,0,1,21,507,19,364,25,47,9,3,9,5,10,7,Refuse,No,48,12
496,Graduation,Single,38808.0,1,0,21,125,17,52,3,19,30,4,5,1,4,8,Accept,No,52,12
497,PhD,Married,160803.0,0,0,21,55,16,1622,17,3,4,15,0,28,1,0,Refuse,No,42,12
498,Master,Married,43783.0,1,0,22,327,9,125,25,4,139,6,7,1,8,7,Refuse,No,46,10
499,PhD,Married,30396.0,1,0,22,15,0,6,0,1,12,2,1,1,2,7,Accept,No,55,10
500,PhD,Married,65526.0,0,1,22,397,19,69,12,0,9,1,4,4,8,2,Refuse,No,60,10
502,Graduation,Married,55956.0,0,0,22,760,38,104,50,9,38,2,7,3,4,4,Refuse,No,80,10
503,Graduation,Divorced,55563.0,0,1,22,29,1,9,2,0,2,1,2,0,3,3,Refuse,No,46,10
504,PhD,Married,57236.0,1,1,22,105,0,9,2,1,4,3,2,1,4,3,Refuse,No,59,10
505,Graduation,Divorced,89694.0,1,1,22,1126,28,211,37,28,42,3,4,3,4,5,Refuse,No,51,11
506,Master,Married,57420.0,0,1,22,280,0,18,0,0,24,3,5,1,6,7,Refuse,No,53,11
507,Graduation,Married,33622.0,1,1,22,39,1,22,3,4,12,3,2,0,4,7,Refuse,No,52,11
508,PhD,Single,29999.0,1,0,22,68,7,59,10,5,11,4,3,1,4,8,Refuse,No,38,11
509,PhD,Married,31497.0,0,1,22,108,1,28,13,1,4,2,3,1,4,8,Refuse,No,62,12
511,PhD,Single,36802.0,1,0,23,16,1,2,0,0,1,1,1,0,3,5,Refuse,No,44,10
512,Graduation,Divorced,61671.0,0,1,23,641,7,56,0,0,28,8,10,4,6,8,Refuse,No,56,10
513,2n Cycle,Single,60182.0,0,1,23,8,0,5,7,0,2,1,1,0,2,4,Refuse,No,131,10
514,PhD,Married,29732.0,1,0,23,25,0,8,0,1,4,1,2,0,2,9,Refuse,No,53,10
515,PhD,Married,45921.0,0,0,23,102,9,49,24,3,12,1,2,1,6,4,Refuse,No,38,10
516,Graduation,Married,16529.0,1,0,23,3,0,5,13,0,1,1,1,0,3,6,Refuse,No,40,10
517,Master,Single,98777.0,0,0,23,1000,19,711,125,115,38,0,4,6,9,1,Refuse,No,64,10
519,Master,Married,77027.0,0,1,23,820,57,242,45,0,11,2,8,3,6,4,Refuse,No,72,10
520,Graduation,Married,69139.0,0,1,23,86,12,75,33,15,6,1,4,1,5,4,Refuse,No,59,10
522,Graduation,Married,65169.0,0,0,23,1074,0,69,0,0,46,1,10,4,13,6,Accept,No,42,10
523,Graduation,Widow,40049.0,0,1,23,13,6,7,0,3,3,1,1,0,3,6,Refuse,No,72,11
524,Graduation,Married,69755.0,0,0,23,217,77,373,111,23,93,1,3,6,12,1,Refuse,No,79,11
525,PhD,Married,52247.25135379061,0,1,23,352,0,27,10,0,15,3,6,1,7,6,Refuse,No,63,11
526,PhD,Married,54456.0,0,1,23,352,0,27,10,0,15,3,6,1,7,6,Refuse,No,63,11
527,Graduation,Married,666666.0,1,0,23,9,14,18,8,1,12,4,3,1,3,6,Refuse,No,47,11
528,Graduation,Single,60689.0,0,1,23,240,90,216,63,6,24,4,4,4,10,3,Refuse,No,73,11
529,Basic,Single,26487.0,1,0,23,2,8,10,12,14,23,3,2,1,3,5,Refuse,No,46,11
530,Graduation,Married,28164.0,1,0,23,3,18,26,11,8,12,3,2,0,4,7,Refuse,No,54,11
531,Graduation,Single,22585.0,0,0,23,3,9,15,13,2,39,1,1,1,2,9,Accept,No,54,11
532,Graduation,Married,64795.0,0,1,23,412,5,119,38,29,77,3,3,3,12,2,Refuse,No,53,11
533,PhD,Single,42000.0,0,0,23,124,83,267,85,59,35,2,5,2,11,5,Accept,No,37,11
535,Graduation,Married,70713.0,0,1,23,736,114,279,82,76,190,6,5,6,8,3,Refuse,No,58,12
536,PhD,Single,82800.0,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,Accept,No,78,12
538,Basic,Married,30801.0,0,1,23,8,4,5,15,2,11,2,1,0,3,7,Refuse,No,49,12
539,Master,Married,83891.0,0,1,24,217,38,350,111,85,15,1,4,7,10,1,Refuse,No,50,10
540,Master,Divorced,38054.0,1,1,24,23,2,17,2,1,0,2,2,0,3,7,Refuse,No,74,10
541,Graduation,Married,14045.0,1,0,24,11,0,5,2,1,1,1,1,0,3,7,Refuse,No,55,10
542,PhD,Married,44155.0,1,1,24,22,1,9,0,0,14,1,1,1,2,4,Refuse,No,67,10
543,PhD,Single,57642.0,0,1,24,580,6,58,8,0,27,3,7,6,6,4,Refuse,No,54,10
544,Graduation,Married,31353.0,1,1,24,10,0,10,3,1,7,2,1,1,2,8,Refuse,No,47,11
545,Graduation,Married,31353.0,1,1,24,10,0,10,3,1,7,2,1,1,2,8,Accept,No,47,11
546,Master,Divorced,41335.0,1,0,24,112,19,21,16,14,5,3,4,1,4,7,Refuse,No,56,11
548,PhD,Single,40737.0,2,1,24,11,0,4,0,0,2,1,1,0,2,8,Refuse,No,67,11
549,2n Cycle,Married,19789.0,1,0,24,2,5,9,28,6,28,3,2,1,3,5,Refuse,No,49,11
550,PhD,Divorced,35946.0,1,1,24,8,0,3,0,0,0,1,0,0,3,5,Refuse,No,75,11
551,Master,Married,36262.0,0,0,24,88,39,54,64,28,153,1,3,5,3,6,Accept,No,41,11
552,Master,Widow,44551.0,0,1,24,182,4,33,0,0,66,2,4,1,5,7,Refuse,No,70,11
